RMSE,MAE,SMAPE,MASE,R2
2.750134712098094,1.7243961138935109,0.02475990229141105,0.19780979307205826,0.9918765072949606
2.754478316402439,1.7418818829984049,0.024152154900461083,0.19981562939961475,0.9918508262963219
2.942903411103723,1.9735691510250284,0.02874769307269248,0.2263930556513461,0.9906977742260127
3.0123574214943147,1.9250585809871585,0.02683826135704396,0.22082828677737076,0.9902535185607481
2.854779589764776,1.9116696208919275,0.02755827064164709,0.21929240566249877,0.9912465344774681
2.7519352207667884,1.806593856257233,0.026067368644850916,0.2072389017768128,0.9918658669383865
2.60921286295673,1.6458529791485088,0.02328214183423079,0.18879991355194056,0.9926877020168748
3.1765799629337192,2.4118095111884537,0.03799404087701378,0.2766647039468286,0.9891618678121692
2.689209879457571,1.6651486098325736,0.023413842764538735,0.19101336362994592,0.9922324464598246
2.878169578868871,1.9216608999771718,0.027603882114093554,0.22043853028691288,0.9911025077907866
2.7334080750892293,1.780511516693096,0.025181757517622742,0.204246931341222,0.9919750228317514
3.0455425810717167,2.0619789725968447,0.02923709211160241,0.23653476750615404,0.9900375945841604
2.595472788888431,1.6503604270669827,0.02322926202733528,0.18931697418137056,0.9927645121358236
2.692419742286572,1.6563584985792432,0.022867602137027626,0.19000502797313695,0.9922138925629667
2.797080973120824,1.831419966903552,0.026409708067460097,0.21008676704985857,0.99159679540948
2.8929382024917247,1.9230041790209582,0.027858199220672925,0.2205926211872278,0.9910109629091995
2.9095180003488608,1.9394255087515793,0.02803433209117187,0.22247635301068214,0.9909076330204878
2.726505117650733,1.7904523092136808,0.02564052373102369,0.20538726452547465,0.9920155042568475
3.0850914284811144,2.138066174566144,0.03099113089451409,0.2452629208322456,0.9897771747364567
2.718475607444873,1.73630390061449,0.02444163064138458,0.19917576508292334,0.9920624634104426
