Method,RMSE,RMSE_std,MAE,MAE_std,SMAPE,SMAPE_std,MASE,MASE_std,R2,R2_std
VMD,1.4594,0.0636,1.0473,0.0414,0.01406,0.000579,0.1711,0.0068,0.994761,0.000458
Hybrid_ICEEMDAN_VMD,3.0138,2.6922,1.9699,2.1655,0.026755,0.02974,0.4164,0.1937,0.959216,0.061649
EMD,7.7521,0.0512,5.6198,0.0572,0.56384,0.008212,0.6284,0.0064,0.817543,0.002421
CEEMDAN,8.0835,0.3437,5.882,0.1988,0.602632,0.066624,0.6577,0.0223,0.81246,0.029149
No_Decomp,12.423,0.0683,8.7068,0.0327,0.116566,0.000536,0.974,0.0037,0.693605,0.003366
ICEEMDAN,39.7189,19.9464,38.7204,20.442,0.872302,0.487261,12.4911,7.0875,-3.933137,2.891296
