RMSE,MAE,SMAPE,MASE,R2
7.724405283041976,5.569358629980651,0.5596645766038842,0.6227313834596223,0.8188513359694517
7.719503741493374,5.609715146111552,0.5675007252319131,0.6272438005603135,0.8190811597445175
7.761158943134266,5.613736235664938,0.5622556767647607,0.6276934140305459,0.8171233800498896
7.7518588224884235,5.613665003631794,0.5625982537311921,0.6276854493032777,0.8175613959777981
7.74569871403032,5.604317717902888,0.5640548065934932,0.6266402933777429,0.817851234860648
7.7297205212873745,5.610061280900505,0.5616809545539657,0.6272825032207648,0.8186019498887122
7.808525984511087,5.720122407288923,0.5733985000800927,0.6395888605689937,0.8148843438557314
7.868813513691312,5.721554791714313,0.5789598765004716,0.6397490209741914,0.8120148527732707
7.70151136828056,5.551590923564979,0.5486934143714862,0.6207447079495243,0.8199235366364092
7.709810495492143,5.583789996892451,0.559596684931423,0.6243450100330343,0.8195352277375066
