RMSE,MAE,SMAPE,MASE,R2
171.40005858473936,133.55410274981688,0.7893262400049098,12.827521144923237,-1.481017311237487
172.21053529011954,134.3459045376977,0.8003887522504455,13.090804334893216,-1.4992616650619657
172.51242359068948,134.8412851380217,0.804445661429985,12.94521631228649,-1.5129921089716838
172.79788987455112,135.54993476546312,0.8144312388174992,13.090851948197885,-1.5113756812850445
171.77647120164875,134.4112912049796,0.8015020644141397,13.218206509674442,-1.5200096566510024
171.9776177005522,134.54856603310878,0.8020238341111353,12.858087243099634,-1.521781491304044
171.81402420618667,134.1313211162627,0.7953175397292072,13.060853986808366,-1.4934272968219928
173.11706431661577,136.04217689233232,0.8186878259504224,13.460659861740314,-1.5534433819211593
172.49306429090757,135.12048106298326,0.8083081489360816,12.893816018444468,-1.5245702956835414
172.1746254660837,134.90328821020458,0.8068904707664749,13.383732593589109,-1.5256858523760464
172.03448246250315,134.703573183601,0.8036818956125515,13.177759891853764,-1.5257519070924936
171.1133972262673,133.32204597120403,0.7884669467344307,12.698776859109651,-1.4763534282159672
171.59684158175781,134.14680593828578,0.7977521738304423,13.147888062043968,-1.5051082849633346
172.50923994008213,134.91505570431738,0.8020192955679369,13.120463602207359,-1.5130506515168478
171.6924329016816,133.76308712807452,0.7930912430095644,12.792922004912336,-1.482140166767842
172.4022928499697,135.04803602852812,0.8088512101983447,13.133239018863613,-1.5230193385982154
171.2078403904365,133.48962713871927,0.7889099826247447,12.906559524013263,-1.4910960956659713
171.85042383031245,134.101083298909,0.7953404797687357,12.839597210396697,-1.491865496344896
171.97750568362167,134.13182869894268,0.7945848049130182,12.913479242548739,-1.4895039152568565
171.65631104713077,133.86658168677002,0.7911201830087905,12.951163030485683,-1.4943825976217573
