RMSE,MAE,SMAPE,MASE,R2
0.9928873627788526,0.7107414933359474,0.008203962232121508,0.2861282108953951,0.9995015973208143
0.848817184163952,0.6135362189415798,0.007162556592351216,0.24699559866881463,0.9996357423106402
0.3603200956163262,0.27844336796135694,0.003116724625125891,0.11209490856728867,0.9999343616931081
0.37696514141950715,0.286410669003204,0.003216225343043298,0.11530236108574066,0.9999281572767466
0.3652841420529024,0.29315243908427707,0.0036522124528094767,0.1180164429701562,0.999932540667522
0.3591055787939155,0.2894220096817137,0.003419786059431564,0.11651465772075821,0.9999348034363044
0.31451750962239483,0.2400584242003399,0.0027778569883760533,0.09664201129501868,0.9999499884795234
0.8871877055130677,0.6292645380932717,0.0071195405321881665,0.2533274589323017,0.9996020656480165
0.7804471792254777,0.5584628512464299,0.006216458870966855,0.22482432498583982,0.9996920590590269
0.45848137187717747,0.37657514541268083,0.004498678036764599,0.15160050965769886,0.9998937267916772
0.5614818224349323,0.4664013825994978,0.006000309141805639,0.18776249088253896,0.9998406134010244
0.4263114814039881,0.3352032067051592,0.0037722697751605195,0.13494511678328597,0.9999081171494103
0.3797396181595961,0.2902189278656935,0.003462906591358934,0.11683547868921172,0.9999270958550621
0.7429154923396363,0.5196617064965251,0.005778195482548322,0.2092038747488985,0.999720964646204
0.7174345449790329,0.5596851629042225,0.006404839487771313,0.2253163996023917,0.999739777424554
0.6618830265162358,0.5138834856454224,0.0058789431136754226,0.20687769566721234,0.9997785157287675
0.4496401354102576,0.38043281280169566,0.005137895595923016,0.1531535179998284,0.9998977859628869
0.4381795459965639,0.3420436238585418,0.003970934871870269,0.1376989117146738,0.9999029300951227
0.7185513078071274,0.6270809949902728,0.008507278939487743,0.25244841459996425,0.9997389666660491
0.7648370457921717,0.5382844823892418,0.005971972239687094,0.21670097685711928,0.9997042544404666
