0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
157.10147,157.10147,157.10147,157.10147,157.10147,157.10147,157.10147,157.10147,157.10147,157.10147,157.10147,157.10147,157.10147,157.10147,157.10147,157.10147,157.10147,157.10147,157.10147,157.10147
143.7714,143.7714,143.7714,143.7714,143.7714,143.7714,143.7714,143.7714,143.7714,143.7714,143.7714,143.7714,143.7714,143.7714,143.7714,143.7714,143.7714,143.7714,143.7714,143.7714
122.85723,122.85723,122.85723,122.85723,122.85723,122.85723,122.85723,122.85723,122.85723,122.85723,122.85723,122.85723,122.85723,122.85723,122.85723,122.85723,122.85723,122.85723,122.85723,122.85723
117.57539,117.57539,117.57539,117.57539,117.57539,117.57539,117.57539,117.57539,117.57539,117.57539,117.57539,117.57539,117.57539,117.57539,117.57539,117.57539,117.57539,117.57539,117.57539,117.57539
110.69081,110.69081,110.69081,110.69081,110.69081,110.69081,110.69081,110.69081,110.69081,110.69081,110.69081,110.69081,110.69081,110.69081,110.69081,110.69081,110.69081,110.69081,110.69081,110.69081
111.28993,111.28993,111.28993,111.28993,111.28993,111.28993,111.28993,111.28993,111.28993,111.28993,111.28993,111.28993,111.28993,111.28993,111.28993,111.28993,111.28993,111.28993,111.28993,111.28993
110.66474,110.66474,110.66474,110.66474,110.66474,110.66474,110.66474,110.66474,110.66474,110.66474,110.66474,110.66474,110.66474,110.66474,110.66474,110.66474,110.66474,110.66474,110.66474,110.66474
109.642654,109.642654,109.642654,109.642654,109.642654,109.642654,109.642654,109.642654,109.642654,109.642654,109.642654,109.642654,109.642654,109.642654,109.642654,109.642654,109.642654,109.642654,109.642654,109.642654
112.25227,112.25227,112.25227,112.25227,112.25227,112.25227,112.25227,112.25227,112.25227,112.25227,112.25227,112.25227,112.25227,112.25227,112.25227,112.25227,112.25227,112.25227,112.25227,112.25227
105.92712,105.92712,105.92712,105.92712,105.92712,105.92712,105.92712,105.92712,105.92712,105.92712,105.92712,105.92712,105.92712,105.92712,105.92712,105.92712,105.92712,105.92712,105.92712,105.92712
99.22254,99.22254,99.22254,99.22254,99.22254,99.22254,99.22254,99.22254,99.22254,99.22254,99.22254,99.22254,99.22254,99.22254,99.22254,99.22254,99.22254,99.22254,99.22254,99.22254
91.20384,91.20384,91.20384,91.20384,91.20384,91.20384,91.20384,91.20384,91.20384,91.20384,91.20384,91.20384,91.20384,91.20384,91.20384,91.20384,91.20384,91.20384,91.20384,91.20384
84.46626,84.46626,84.46626,84.46626,84.46626,84.46626,84.46626,84.46626,84.46626,84.46626,84.46626,84.46626,84.46626,84.46626,84.46626,84.46626,84.46626,84.46626,84.46626,84.46626
79.71713,79.71713,79.71713,79.71713,79.71713,79.71713,79.71713,79.71713,79.71713,79.71713,79.71713,79.71713,79.71713,79.71713,79.71713,79.71713,79.71713,79.71713,79.71713,79.71713
79.4123,79.4123,79.4123,79.4123,79.4123,79.4123,79.4123,79.4123,79.4123,79.4123,79.4123,79.4123,79.4123,79.4123,79.4123,79.4123,79.4123,79.4123,79.4123,79.4123
79.84319,79.84319,79.84319,79.84319,79.84319,79.84319,79.84319,79.84319,79.84319,79.84319,79.84319,79.84319,79.84319,79.84319,79.84319,79.84319,79.84319,79.84319,79.84319,79.84319
89.594086,89.594086,89.594086,89.594086,89.594086,89.594086,89.594086,89.594086,89.594086,89.594086,89.594086,89.594086,89.594086,89.594086,89.594086,89.594086,89.594086,89.594086,89.594086,89.594086
98.54157,98.54157,98.54157,98.54157,98.54157,98.54157,98.54157,98.54157,98.54157,98.54157,98.54157,98.54157,98.54157,98.54157,98.54157,98.54157,98.54157,98.54157,98.54157,98.54157
103.304054,103.304054,103.304054,103.304054,103.304054,103.304054,103.304054,103.304054,103.304054,103.304054,103.304054,103.304054,103.304054,103.304054,103.304054,103.304054,103.304054,103.304054,103.304054,103.304054
113.96555,113.96555,113.96555,113.96555,113.96555,113.96555,113.96555,113.96555,113.96555,113.96555,113.96555,113.96555,113.96555,113.96555,113.96555,113.96555,113.96555,113.96555,113.96555,113.96555
117.98365,117.98365,117.98365,117.98365,117.98365,117.98365,117.98365,117.98365,117.98365,117.98365,117.98365,117.98365,117.98365,117.98365,117.98365,117.98365,117.98365,117.98365,117.98365,117.98365
114.34491,114.34491,114.34491,114.34491,114.34491,114.34491,114.34491,114.34491,114.34491,114.34491,114.34491,114.34491,114.34491,114.34491,114.34491,114.34491,114.34491,114.34491,114.34491,114.34491
116.73726,116.73726,116.73726,116.73726,116.73726,116.73726,116.73726,116.73726,116.73726,116.73726,116.73726,116.73726,116.73726,116.73726,116.73726,116.73726,116.73726,116.73726,116.73726,116.73726
111.33091,111.33091,111.33091,111.33091,111.33091,111.33091,111.33091,111.33091,111.33091,111.33091,111.33091,111.33091,111.33091,111.33091,111.33091,111.33091,111.33091,111.33091,111.33091,111.33091
109.138664,109.138664,109.138664,109.138664,109.138664,109.138664,109.138664,109.138664,109.138664,109.138664,109.138664,109.138664,109.138664,109.138664,109.138664,109.138664,109.138664,109.138664,109.138664,109.138664
111.8181,111.8181,111.8181,111.8181,111.8181,111.8181,111.8181,111.8181,111.8181,111.8181,111.8181,111.8181,111.8181,111.8181,111.8181,111.8181,111.8181,111.8181,111.8181,111.8181
105.49037,105.49037,105.49037,105.49037,105.49037,105.49037,105.49037,105.49037,105.49037,105.49037,105.49037,105.49037,105.49037,105.49037,105.49037,105.49037,105.49037,105.49037,105.49037,105.49037
104.858795,104.858795,104.858795,104.858795,104.858795,104.858795,104.858795,104.858795,104.858795,104.858795,104.858795,104.858795,104.858795,104.858795,104.858795,104.858795,104.858795,104.858795,104.858795,104.858795
101.51934,101.51934,101.51934,101.51934,101.51934,101.51934,101.51934,101.51934,101.51934,101.51934,101.51934,101.51934,101.51934,101.51934,101.51934,101.51934,101.51934,101.51934,101.51934,101.51934
101.63285,101.63285,101.63285,101.63285,101.63285,101.63285,101.63285,101.63285,101.63285,101.63285,101.63285,101.63285,101.63285,101.63285,101.63285,101.63285,101.63285,101.63285,101.63285,101.63285
101.54514,101.54514,101.54514,101.54514,101.54514,101.54514,101.54514,101.54514,101.54514,101.54514,101.54514,101.54514,101.54514,101.54514,101.54514,101.54514,101.54514,101.54514,101.54514,101.54514
101.13385,101.13385,101.13385,101.13385,101.13385,101.13385,101.13385,101.13385,101.13385,101.13385,101.13385,101.13385,101.13385,101.13385,101.13385,101.13385,101.13385,101.13385,101.13385,101.13385
101.17295,101.17295,101.17295,101.17295,101.17295,101.17295,101.17295,101.17295,101.17295,101.17295,101.17295,101.17295,101.17295,101.17295,101.17295,101.17295,101.17295,101.17295,101.17295,101.17295
100.53137,100.53137,100.53137,100.53137,100.53137,100.53137,100.53137,100.53137,100.53137,100.53137,100.53137,100.53137,100.53137,100.53137,100.53137,100.53137,100.53137,100.53137,100.53137,100.53137
98.207306,98.207306,98.207306,98.207306,98.207306,98.207306,98.207306,98.207306,98.207306,98.207306,98.207306,98.207306,98.207306,98.207306,98.207306,98.207306,98.207306,98.207306,98.207306,98.207306
101.00223,101.00223,101.00223,101.00223,101.00223,101.00223,101.00223,101.00223,101.00223,101.00223,101.00223,101.00223,101.00223,101.00223,101.00223,101.00223,101.00223,101.00223,101.00223,101.00223
97.587006,97.587006,97.587006,97.587006,97.587006,97.587006,97.587006,97.587006,97.587006,97.587006,97.587006,97.587006,97.587006,97.587006,97.587006,97.587006,97.587006,97.587006,97.587006,97.587006
95.859436,95.859436,95.859436,95.859436,95.859436,95.859436,95.859436,95.859436,95.859436,95.859436,95.859436,95.859436,95.859436,95.859436,95.859436,95.859436,95.859436,95.859436,95.859436,95.859436
91.2477,91.2477,91.2477,91.2477,91.2477,91.2477,91.2477,91.2477,91.2477,91.2477,91.2477,91.2477,91.2477,91.2477,91.2477,91.2477,91.2477,91.2477,91.2477,91.2477
84.06671,84.06671,84.06671,84.06671,84.06671,84.06671,84.06671,84.06671,84.06671,84.06671,84.06671,84.06671,84.06671,84.06671,84.06671,84.06671,84.06671,84.06671,84.06671,84.06671
82.858795,82.858795,82.858795,82.858795,82.858795,82.858795,82.858795,82.858795,82.858795,82.858795,82.858795,82.858795,82.858795,82.858795,82.858795,82.858795,82.858795,82.858795,82.858795,82.858795
78.02703,78.02703,78.02703,78.02703,78.02703,78.02703,78.02703,78.02703,78.02703,78.02703,78.02703,78.02703,78.02703,78.02703,78.02703,78.02703,78.02703,78.02703,78.02703,78.02703
72.87691,72.87691,72.87691,72.87691,72.87691,72.87691,72.87691,72.87691,72.87691,72.87691,72.87691,72.87691,72.87691,72.87691,72.87691,72.87691,72.87691,72.87691,72.87691,72.87691
71.55522,71.55522,71.55522,71.55522,71.55522,71.55522,71.55522,71.55522,71.55522,71.55522,71.55522,71.55522,71.55522,71.55522,71.55522,71.55522,71.55522,71.55522,71.55522,71.55522
69.141754,69.141754,69.141754,69.141754,69.141754,69.141754,69.141754,69.141754,69.141754,69.141754,69.141754,69.141754,69.141754,69.141754,69.141754,69.141754,69.141754,69.141754,69.141754,69.141754
69.972176,69.972176,69.972176,69.972176,69.972176,69.972176,69.972176,69.972176,69.972176,69.972176,69.972176,69.972176,69.972176,69.972176,69.972176,69.972176,69.972176,69.972176,69.972176,69.972176
72.57992,72.57992,72.57992,72.57992,72.57992,72.57992,72.57992,72.57992,72.57992,72.57992,72.57992,72.57992,72.57992,72.57992,72.57992,72.57992,72.57992,72.57992,72.57992,72.57992
