0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
156.22235,155.09236,154.8387,154.56424,151.79341,154.27094,155.78085,154.8026,154.05727,155.49846,158.8769,156.67178,157.20656,154.42996,156.252,156.66335,154.93333,154.81232,153.32306,157.29
137.35095,136.37395,135.96489,135.70003,133.62819,135.84264,137.38837,136.18356,135.46088,137.0714,140.23778,138.05869,138.626,136.13954,137.27492,137.94133,136.4968,135.85135,134.39812,138.48537
122.17062,121.442986,120.66585,120.55005,118.30842,120.82642,121.943245,121.097244,119.95833,121.543434,124.82919,122.72471,123.35267,120.606834,121.89733,122.13601,121.43407,120.80728,118.91887,122.25908
111.18978,110.601616,110.25677,109.7528,107.42986,110.081154,110.841835,110.496994,109.631386,111.13499,113.9055,112.188156,112.43514,109.74033,111.51117,111.345856,110.85683,110.4655,108.14328,111.64184
105.24746,104.85813,104.45986,104.07157,101.23278,104.63999,105.01212,104.42497,103.49258,105.51901,108.437294,106.27766,106.75624,103.95599,106.277534,105.66726,104.88514,104.661255,102.74642,105.989525
103.78346,103.76433,103.00055,102.68319,99.98759,103.03837,103.55778,102.67291,102.01077,104.125275,106.84986,104.41993,105.035484,102.60035,104.54337,104.19291,103.37756,103.266815,100.95676,104.68997
104.759834,104.92554,104.032906,103.40735,101.082726,103.4768,104.61484,103.9911,103.066925,105.33117,107.5913,105.37829,106.31338,103.4723,105.50902,105.17996,104.18072,104.35327,101.933624,105.68637
106.07515,106.66244,105.10149,104.691696,102.44453,105.06553,105.855194,105.31711,104.42772,106.351906,108.99308,106.897354,107.75495,104.75041,106.66547,106.066826,105.53545,105.65497,103.20811,106.603134
104.932045,105.28043,104.32019,104.09534,101.46528,104.287605,105.03778,104.06512,103.456924,105.59454,108.2803,105.93318,106.68309,103.89929,105.60947,105.239494,105.154236,104.69231,102.16848,105.604485
101.415504,101.751755,100.76087,100.61751,97.48698,100.64664,101.60288,100.9657,100.19675,102.219086,104.956276,102.469246,103.04959,100.407295,102.36028,101.50266,101.5429,100.90996,98.69325,102.309105
95.987564,96.17277,95.12652,94.81198,92.141,94.95249,95.9625,95.31949,94.4597,96.74837,99.18534,96.64533,97.30365,94.72765,96.75936,95.92317,95.45419,95.199814,93.148254,96.97807
89.77219,90.15631,88.66132,88.48399,85.45724,88.77766,89.28247,89.000626,88.10307,90.256485,92.58655,90.18778,90.88072,88.03102,89.676636,89.61296,89.04938,88.693794,86.60872,90.6187
84.10139,84.597336,82.487236,82.64161,79.848976,82.921295,83.52039,83.037704,82.22961,84.51908,87.209145,84.51077,84.94303,82.43934,83.73494,83.90269,83.28829,82.99391,80.953,84.47506
80.03292,80.83805,78.721596,78.62347,76.23162,79.30853,79.91489,79.18816,78.409744,80.84981,83.549324,80.9798,81.35899,78.9509,80.00416,80.04101,79.892815,79.2521,77.36968,80.45184
