0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
47.72579,46.673492,48.071526,47.55162,47.70456,48.10299,47.657413,47.073544,47.35224,48.0667,48.16863,47.158184,47.385666,49.980885,46.533604,47.863625,47.548637,48.344368,47.654984,47.052307
46.246174,45.30058,46.627167,46.15721,46.282986,46.72313,46.254414,45.70406,45.973717,46.645714,46.765648,45.76346,45.982014,48.61164,45.170944,46.453365,46.133347,46.972893,46.209778,45.673355
46.08936,45.18121,46.49033,46.115055,46.136368,46.639942,46.10916,45.590374,45.908096,46.50516,46.675816,45.63318,45.83677,48.581905,45.111046,46.32276,45.992344,46.900284,46.05075,45.54641
47.490677,46.565247,47.908577,47.654503,47.50909,48.100983,47.45347,46.96536,47.38066,47.878563,48.1522,47.003494,47.18809,50.12257,46.587418,47.704193,47.36628,48.364483,47.413563,46.910995
50.295,49.33714,50.73601,50.579395,50.27263,50.96087,50.158104,49.700222,50.218178,50.629253,51.05669,49.741848,49.907093,53.048386,49.43844,50.454556,50.119366,51.21343,50.157692,49.64066
53.849773,52.889866,54.321003,54.17433,53.808647,54.558636,53.623127,53.18734,53.756218,54.140812,54.727966,53.23318,53.37962,56.653004,53.0084,53.945477,53.627163,54.789463,53.65607,53.123455
57.294064,56.379005,57.782722,57.533005,57.274296,58.002827,57.032978,56.600746,57.141945,57.5802,58.262024,56.647743,56.773407,60.032066,56.441063,57.33758,57.050095,58.21252,57.068077,56.531017
59.825207,58.973366,60.27913,59.860184,59.85425,60.45531,59.58974,59.1371,59.59473,60.13898,60.79935,59.184753,59.2856,62.38694,58.939842,59.83434,59.58522,60.65463,59.594315,59.06051
61.001717,60.16349,61.335537,60.78738,61.062836,61.46596,60.805748,60.317947,60.698895,61.331234,61.85964,60.372917,60.444054,63.344444,60.074844,60.983456,60.766888,61.658176,60.77403,60.2351
60.74873,59.81276,60.880623,60.325962,60.772633,60.988724,60.541245,60.027527,60.383175,61.028664,61.375534,60.095924,60.13497,62.916363,59.77356,60.689693,60.489815,61.158245,60.500187,59.93388
59.209866,58.06174,59.10042,58.645695,59.11719,59.218945,58.91317,58.403065,58.75665,59.363083,59.54729,58.4838,58.493023,61.276062,58.16189,59.09051,58.890404,59.34122,58.90371,58.290176
56.863358,55.45937,56.55104,56.211178,56.624134,56.70758,56.434998,55.962708,56.265232,56.86294,56.95414,56.04579,56.031876,58.88595,55.699623,56.680637,56.47297,56.766006,56.48343,55.822502
53.86793,52.26547,53.438965,53.123997,53.536324,53.641388,53.345806,52.92394,53.068462,53.77008,53.827156,52.997955,52.96844,55.840122,52.547085,53.648705,53.439743,53.64426,53.43889,52.757954
50.43057,48.747334,49.95443,49.53555,50.115738,50.190628,49.917442,49.524456,49.413643,50.342167,50.365868,49.58613,49.541702,52.283974,48.936275,50.21911,50.02333,50.166805,50.001236,49.344315
46.861115,45.191376,46.344994,45.76325,46.644855,46.599026,46.450558,46.044937,45.676888,46.86091,46.805035,46.104294,46.039394,48.53105,45.22143,46.688496,46.516754,46.573822,46.467163,45.867237
43.68474,42.03576,43.08202,42.41791,43.546597,43.352985,43.379314,42.934067,42.433937,43.75577,43.58698,43.005836,42.91678,45.189907,41.969692,43.542522,43.389557,43.32974,43.313366,42.77144
41.26394,39.56855,40.523838,39.942886,41.096184,40.825607,40.969013,40.495907,40.041264,41.308434,41.04736,40.587467,40.47795,42.703365,39.55203,41.112225,40.95691,40.789997,40.860588,40.350185
39.92231,38.10882,39.05022,38.679203,39.609673,39.399017,39.511223,39.05595,38.76446,39.832703,39.563797,39.160233,39.040962,41.420387,38.257404,39.71904,39.536106,39.335926,39.42669,38.91825
39.663597,37.734573,38.75541,38.595245,39.171597,39.155067,39.06951,38.681637,38.555973,39.40517,39.247543,38.781033,38.6657,41.318497,38.049423,39.39834,39.178238,39.06136,39.06005,38.53833
40.033455,38.090004,39.238083,39.162582,39.43836,39.671135,39.298363,38.99594,38.950687,39.674343,39.722157,39.075977,38.972363,41.87558,38.45691,39.73479,39.491985,39.559605,39.366573,38.838703
40.393585,38.594315,39.84213,39.678978,39.842598,40.2692,39.649155,39.404858,39.3439,40.07201,40.34362,39.463833,39.36843,42.38737,38.86393,40.112743,39.88146,40.164764,39.748894,39.234966
40.17228,38.648525,39.91029,39.544373,39.80052,40.28924,39.563595,39.31308,39.20073,40.01503,40.451603,39.366642,39.265713,42.24905,38.728676,39.94817,39.764946,40.214336,39.628696,39.14309
39.25108,38.031033,39.227158,38.674862,39.099533,39.538723,38.841038,38.52436,38.41729,39.295143,39.81755,38.59531,38.47428,41.376526,37.945404,39.083595,38.966892,39.5018,38.83461,38.367615
37.784653,36.78131,37.88737,37.277134,37.779995,38.14942,37.51486,37.114655,37.122738,37.957085,38.52187,37.217533,37.07152,39.982513,36.648666,37.634003,37.573692,38.140575,37.45431,36.97516
36.186024,35.261692,36.31064,35.779663,36.19653,36.56551,35.922554,35.477276,35.673714,36.36295,36.976227,35.60707,35.44282,38.501907,35.203964,36.00197,35.968315,36.56693,35.865833,35.34435
34.973686,34.031994,35.082012,34.67929,34.904312,35.368004,34.607597,34.18192,34.539944,35.070988,35.76698,34.316845,34.147728,37.429836,34.087894,34.732147,34.696938,35.37053,34.60752,34.037243
34.421482,33.45003,34.538944,34.196224,34.270844,34.863083,33.943012,33.577698,33.97835,34.44555,35.234997,33.695797,33.53053,36.972847,33.55783,34.13739,34.09231,34.868927,34.004696,33.408943
34.75308,33.792324,34.9156,34.51607,34.585705,35.25006,34.24009,33.922737,34.24009,34.76842,35.612633,34.019684,33.85386,37.30638,33.855324,34.461277,34.418915,35.264973,34.316113,33.733704
36.14365,35.21311,36.340324,35.831028,36.00224,36.653866,35.674587,35.355526,35.55452,36.188198,37.022804,35.450085,35.268623,38.61947,35.19644,35.86217,35.840466,36.668312,35.705063,35.16618
38.538105,37.59266,38.6924,38.127987,38.385395,38.981003,38.11583,37.753933,37.893593,38.57097,39.343693,37.873558,37.65873,40.906654,37.55023,38.249683,38.253704,38.96989,38.071377,37.588043
41.63699,40.589176,41.643246,41.123608,41.379982,41.934605,41.194893,40.785748,40.93433,41.564636,42.253597,40.947083,40.689224,43.900208,40.605736,41.306255,41.32455,41.87248,41.08525,40.656906
44.733376,43.520042,44.506996,44.06516,44.30831,44.833286,44.20995,43.787006,43.916,44.491013,45.073196,43.9807,43.681427,46.863453,43.62041,44.34301,44.36237,44.712677,44.05905,43.6894
47.29356,45.912243,46.81229,46.39334,46.71606,47.188805,46.68805,46.297146,46.29137,46.893227,47.33204,46.494095,46.16384,49.239014,46.046894,46.864727,46.88117,47.019024,46.512917,46.209644
48.8186,47.310894,48.117413,47.651535,48.163033,48.540283,48.186012,47.85543,47.607338,48.330505,48.586918,48.029976,47.678658,50.552055,47.415405,48.397713,48.417828,48.33021,47.99199,47.756447
49.063164,47.465794,48.19822,47.673893,48.408283,48.653473,48.467205,48.196346,47.68217,48.561733,48.6174,48.34113,47.972298,50.616737,47.529625,48.69277,48.72333,48.4019,48.254944,48.071503
47.92629,46.241714,46.930027,46.382915,47.318707,47.402637,47.401993,47.16453,46.429783,47.45496,47.315163,47.292847,46.902634,49.35335,46.306824,47.619614,47.664036,47.103714,47.17001,47.012997
45.76429,43.96891,44.64148,44.112053,45.213375,45.125553,45.303818,45.069782,44.174908,45.331417,45.031586,45.20265,44.784122,47.108635,44.08253,45.503284,45.558865,44.782978,45.056526,44.897488
43.192535,41.260166,41.94654,41.472282,42.67715,42.457237,42.747765,42.5048,41.508835,42.781494,42.394627,42.655266,42.20885,44.497337,41.445446,42.94077,43.00057,42.084618,42.508125,42.316856
40.887848,38.811756,39.549183,39.177654,40.367535,40.1157,40.384537,40.145065,39.127274,40.46827,40.103058,40.31463,39.84813,42.222763,39.077248,40.60885,40.658043,39.732243,40.194004,39.94231
39.249935,37.065224,37.883503,37.6493,38.694714,38.523193,38.627693,38.41408,37.469936,38.800545,38.570206,38.593975,38.121117,40.696304,37.40929,38.920795,38.945892,38.148205,38.52369,38.19278
