0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
47.87627,47.136276,47.513897,47.95334,47.79038,48.70018,48.071327,47.52253,47.0928,47.002773,46.764618,47.43322,48.376675,47.011402,47.70735,47.791214,47.308933,47.804626,47.06742,48.460014
46.40113,45.802525,45.9829,46.388798,46.358143,47.343494,46.56393,46.15882,45.728447,45.676434,45.431915,46.01716,46.906837,45.763065,46.281704,46.442966,45.91695,46.46796,45.652695,47.148758
46.41447,45.776497,46.181095,46.38919,46.435856,47.364403,46.56101,46.007645,45.675953,45.605362,45.431316,46.02997,47.015263,45.761158,46.35518,46.296524,45.92086,46.422794,45.763744,47.083157
48.019115,47.31116,47.954563,47.88578,48.011448,48.863075,48.174484,47.47502,47.166862,47.134987,47.010273,47.719467,48.692356,47.299305,47.938614,47.85886,47.44139,47.899902,47.398315,48.69948
50.93505,50.348656,50.747147,50.958725,50.787674,51.807945,51.077885,50.55582,50.216908,50.135765,49.96669,50.66163,51.60975,50.278484,50.88432,50.76752,50.31144,50.802635,50.29992,51.775852
54.48977,53.80767,54.109806,54.694355,54.383095,55.321167,54.661976,54.260803,53.763474,53.759644,53.472187,54.179234,55.1096,53.81316,54.503284,54.37698,53.84736,54.391155,53.85857,55.313988
57.893005,57.10687,57.471516,57.99325,57.70336,58.70985,58.11064,57.511147,56.970135,57.154285,56.746773,57.49137,58.410492,57.11538,57.809975,57.868687,57.216686,57.806458,57.280224,58.570015
60.20272,59.612072,59.796467,60.16213,60.240158,61.046062,60.56143,59.69477,59.291313,59.435375,59.027416,59.715614,60.73575,59.381767,60.139977,60.195015,59.532955,60.312237,59.547634,60.85541
61.264366,60.615196,60.727985,61.0776,61.28255,61.981216,61.410145,60.708206,60.26068,60.429005,60.13349,60.74459,61.88253,60.342133,61.057774,61.20878,60.613884,61.32047,60.55724,61.77416
60.978577,60.133255,60.43402,60.783485,60.802826,61.633015,60.928764,60.46921,60.011505,59.9018,59.807755,60.40496,61.550575,60.020443,60.668144,60.72654,60.345646,60.850536,60.11488,61.48404
59.30869,58.4863,58.874226,59.22964,59.169933,59.931164,59.32396,58.919167,58.5338,58.266994,58.08299,58.82967,59.957882,58.444298,59.018093,58.999023,58.75805,59.16428,58.530293,60.006702
56.766014,56.152355,56.553486,56.807343,56.713524,57.412403,56.97556,56.57642,56.153507,55.99777,55.788597,56.495106,57.50755,56.073776,56.65106,56.65463,56.421204,56.6623,56.208897,57.672226
53.524147,53.016136,53.485607,53.70597,53.551636,54.235485,53.923386,53.362614,52.89295,52.890495,52.763977,53.29706,54.434143,52.863773,53.64208,53.572556,53.200924,53.445057,53.160786,54.459423
50.063553,49.241566,49.757683,50.06678,49.90902,50.660645,50.283558,49.532402,49.104992,49.065613,49.040913,49.533943,50.81579,49.117405,49.99569,49.901825,49.439465,49.868942,49.435158,50.676533
46.32215,45.38877,45.832806,46.280262,46.11864,46.996937,46.52276,45.749374,45.35508,45.21363,45.110405,45.736313,46.92367,45.357124,46.07777,46.078827,45.617,46.262146,45.49548,46.906662
43.09637,42.20086,42.441456,42.911816,42.996544,43.866245,43.22799,42.534218,42.25619,42.104454,41.860237,42.66606,43.65114,42.38371,42.775455,42.98383,42.454983,43.14454,42.250263,43.8875
40.679077,39.962353,40.195385,40.57561,40.737236,41.451332,40.858616,40.23604,39.936222,39.82014,39.57733,40.335854,41.27243,40.17119,40.50318,40.64745,40.218967,40.709995,40.032375,41.64682
39.386387,38.85066,39.117847,39.502907,39.486546,40.229706,39.68317,39.01659,38.711422,38.62175,38.412403,39.17636,40.090755,38.911964,39.501133,39.346497,39.016403,39.455204,38.91153,40.33203
39.29439,38.849773,39.090626,39.514256,39.27551,40.208138,39.659275,38.998653,38.558357,38.43335,38.39859,39.107353,40.006134,38.76534,39.44248,39.301018,38.862846,39.358555,38.88792,40.134262
39.93199,39.184402,39.500847,39.861286,39.667866,40.729397,40.17068,39.48787,38.98893,38.9574,38.878307,39.551758,40.56003,39.19777,39.85621,40.022488,39.337807,39.89006,39.35634,40.6185
40.357674,39.563423,39.87658,40.112076,40.0411,41.177315,40.63146,39.80538,39.43167,39.345512,39.09119,39.93521,40.963947,39.598446,40.207897,40.41096,39.742447,40.285416,39.633205,40.967976
40.04013,39.3013,39.5583,39.80568,39.783524,40.900173,40.31405,39.46967,39.16542,39.10896,38.70007,39.612816,40.729412,39.23238,39.989136,39.967495,39.43485,40.03821,39.288864,40.63327
39.090706,38.38759,38.50704,38.94469,38.948204,39.949974,39.287067,38.616814,38.182217,38.21531,37.74589,38.69214,39.865543,38.25481,39.087204,38.912457,38.516594,39.120365,38.348,39.723816
37.750977,37.04123,37.089718,37.716892,37.586823,38.497482,37.91787,37.331116,36.694115,36.806732,36.407276,37.287807,38.501102,36.91771,37.78175,37.544083,37.074444,37.74947,36.98363,38.38292
36.25545,35.522484,35.66617,36.30058,36.078617,36.96525,36.467888,35.891945,35.216286,35.319424,35.03041,35.787968,36.983013,35.47193,36.30245,36.122776,35.592674,36.24384,35.54397,36.990074
35.090946,34.306858,34.590424,35.115746,34.817993,35.86231,35.381245,34.661816,34.16469,34.204304,33.915173,34.650684,35.8444,34.297726,35.06622,35.003872,34.439167,35.15146,34.38474,35.84789
34.5134,33.6984,34.03992,34.496574,34.154053,35.41016,34.73896,33.935783,33.5909,33.609795,33.221287,34.13348,35.28354,33.754337,34.396263,34.48053,33.836082,34.62514,33.754787,35.270115
34.81598,33.979446,34.276382,34.724743,34.464134,35.660885,34.916164,34.14675,33.728947,33.792946,33.343697,34.373714,35.510494,34.047665,34.658173,34.675,34.074314,34.852272,34.03177,35.53297
36.17507,35.461838,35.64241,36.13558,35.91744,36.99379,36.266052,35.613506,35.043842,35.095497,34.654503,35.706528,36.791313,35.3781,36.168324,35.931545,35.43487,36.187977,35.381916,36.852703
38.58359,37.931885,38.066402,38.695614,38.389698,39.38105,38.759903,38.12484,37.493828,37.541954,37.210083,38.15105,39.080914,37.78351,38.6397,38.36044,37.870895,38.62253,37.81061,39.341965
41.692932,40.901043,41.11422,41.708164,41.50614,42.44663,41.886696,41.254925,40.53644,40.75949,40.460423,41.231716,42.16393,40.848213,41.677345,41.654633,40.994198,41.701363,40.93828,42.557606
44.55403,43.777676,44.055565,44.411587,44.3311,45.369396,44.790638,44.097866,43.453476,43.608826,43.25147,44.09949,45.057137,43.731674,44.473927,44.62462,43.87067,44.509354,43.80319,45.430775
46.7963,46.001617,46.32212,46.62999,46.54381,47.655296,47.062572,46.345486,45.728733,45.791126,45.326027,46.290127,47.35031,45.90226,46.680492,46.759052,46.149178,46.682297,46.105488,47.539173
48.072224,47.24783,47.390697,47.909187,47.69342,48.869354,48.235985,47.595345,46.93467,47.080956,46.63659,47.578434,48.62269,47.169994,47.890305,47.782814,47.473263,47.824207,47.316925,48.62503
48.135048,47.177765,47.47673,47.971413,47.69925,48.935017,48.197437,47.653667,47.0134,47.137405,46.69441,47.619507,48.665134,47.28783,47.927414,47.75048,47.5441,47.90185,47.267715,48.74336
46.793648,45.865593,46.169796,46.650394,46.461708,47.535244,46.89598,46.346504,45.761154,45.764633,45.455765,46.25971,47.335636,45.922077,46.628124,46.444096,46.135063,46.63906,45.89827,47.540047
44.375317,43.642216,43.945312,44.33238,44.20733,45.13165,44.602863,44.062576,43.506042,43.430305,43.242638,43.942345,45.07172,43.57041,44.377373,44.21476,43.852116,44.308407,43.65287,45.2574
41.82892,41.065628,41.455017,41.793694,41.723164,42.5216,42.068367,41.41101,40.903305,40.808064,40.706234,41.389038,42.585693,40.976185,41.842194,41.74364,41.304455,41.667637,41.197952,42.635654
39.73838,38.93579,39.372524,39.795227,39.51178,40.40102,40.038933,39.34403,38.818592,38.767715,38.588856,39.325897,40.484547,38.847748,39.657932,39.64069,39.205563,39.608654,39.117973,40.486103
38.379745,37.55039,37.87736,38.385,38.020367,39.029617,38.62367,37.91344,37.46148,37.50405,37.126137,37.996853,39.105526,37.573967,38.176758,38.323864,37.774326,38.31293,37.650135,39.103146
37.555244,36.697605,37.015594,37.50534,37.17888,38.203075,37.718773,37.010777,36.58929,36.656303,36.224426,37.199432,38.22082,36.878887,37.358833,37.43631,36.92503,37.507397,36.82318,38.298088
