RMSE,MAE,SMAPE,MASE,R2
4.693054219738674,3.791529293992509,0.020802769116376504,0.47844732926883643,0.9979602494336686
3.6416258304641107,2.8269020063744277,0.014700052588519976,0.3567224753340472,0.9987718354413823
3.9673957241899944,3.056676613572584,0.01687095248006704,0.3857173844125397,0.9985422704391588
4.407278474355092,3.5383574769002535,0.019710149054725772,0.44649996177101664,0.9982011004897031
4.048109168428936,3.1398809529366885,0.017488227852412202,0.3962168137629628,0.9984823544570285
4.768408529660949,3.888915877641273,0.021228401659813365,0.49073639450886863,0.9978942208016273
4.052866007604288,3.0785663648124375,0.01725420000312635,0.38847961891133714,0.9984787856613131
3.6762336956159705,2.826825176191493,0.015124021783679284,0.356712780249826,0.9987483810160096
3.743457888279464,2.994597839937487,0.015905280264546694,0.3778837581506888,0.9987021878884799
5.36014688317202,4.400442948888834,0.025288024862500886,0.5552852195634138,0.997339156692596
4.56387452716499,3.6622277792232403,0.01988620573594769,0.4621309672906257,0.9980709951882074
4.595583498909477,3.7590559229931615,0.020936345859814923,0.47434956384958693,0.9980440973204084
5.49848415545627,4.614318450763954,0.027596396609419947,0.5822738446626098,0.9972000396926196
5.1269033907871036,4.273415546083721,0.025183343054726366,0.539255824323778,0.9975656882988633
4.596123550810664,3.6946949001274105,0.02069329939804439,0.46622794401984713,0.9980436375959681
4.805092188612957,3.8841397709651444,0.021059972159771744,0.4901337048535052,0.997861696398129
3.8469280190400283,2.918090382266803,0.015673234207065644,0.36822939814094663,0.9986294526656719
3.6985725356594865,2.9577934043372065,0.0164350930104639,0.3732394622603467,0.9987331237347854
4.137769607706261,3.2856852602034485,0.01711065808796843,0.41461563808912716,0.9984143821375233
3.800796160674105,2.9449931725773904,0.01630767183770943,0.3716242204345194,0.9986621264234649
