RMSE,MAE,SMAPE,MASE,R2
9.2469007834907,7.1305091684176976,0.03573315743794296,0.89978813387038,0.9920812193254719
8.754747355523909,6.653894631860219,0.03313314687973576,0.8396448686006273,0.9929017195458847
8.46668771605818,6.5136356741197,0.035536735775001396,0.821945803518021,0.9933611477685104
8.219654560339642,6.206104114553385,0.032586013442503864,0.7831388625895899,0.9937429006404636
8.284375971770155,6.157546665428727,0.03114790220527288,0.7770114717537574,0.9936439761283516
8.165921592177405,6.359581908479283,0.032060103365409084,0.8025059925553972,0.9938244402198639
7.4056052318607595,5.759571151666713,0.028786356879704295,0.7267915454629268,0.994920896836798
7.815579346675013,5.8019233704566595,0.02940455004742442,0.7321359076971222,0.9943429727330012
7.594752670052828,5.749100789657087,0.029350572004397422,0.7254703063661009,0.9946581315424045
7.313079757010543,5.576892237833157,0.029877326687775353,0.703739570478616,0.9950470204059013
8.537610123447696,6.123570735113451,0.030902892899771026,0.7727241006540472,0.9932494593629573
7.96469343423849,5.738339380602384,0.030432029010830846,0.7241123404842205,0.9941250517242592
7.964051290411367,6.121142561210791,0.03252901761780081,0.7724176930731882,0.994125999007346
8.15330492851524,6.1558725841197655,0.0308309512439511,0.7768002219732214,0.993843508433778
9.109641535240055,6.8504087920006205,0.034048094886745955,0.8644426923261769,0.9923145642799561
7.22298943691432,5.576025690866813,0.03024820240077822,0.7036302222316198,0.9951683009203641
8.568691210645676,6.330325102912922,0.03266483236608963,0.7988141206481059,0.9932002193409105
7.912367700071555,5.979276497176756,0.03210636784366908,0.7545158296856336,0.9942019915797841
7.467850206601937,5.535152317181918,0.0305811136420403,0.6984724732175925,0.994835157110936
7.168504883883695,5.3409223751294,0.02753433258789157,0.6739628915070387,0.9952409190739238
