run,time_sec
0,513.4289302825928
1,559.4003522396088
2,627.7526137828827
3,482.3790764808655
4,296.58687233924866
5,304.45616149902344
6,323.67697644233704
7,306.1844320297241
8,300.08485674858093
9,303.26255798339844
10,304.94468355178833
11,307.4837396144867
12,307.54119205474854
13,301.5931758880615
14,300.44354248046875
15,307.96798300743103
16,350.40386414527893
17,613.5553398132324
18,432.72939944267273
19,421.61136388778687
